0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:46:52 +0530] "GET /TakeTest/TestLive?test_id=1&ques_num=1 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:46:52 +0530] "GET /TakeTest/userPages/liveTest.jsp HTTP/1.1" 200 17739
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:47:06 +0530] "POST /TakeTest/Result HTTP/1.1" 200 4648
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:47:14 +0530] "GET /TakeTest/Logout HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:47:20 +0530] "GET /TakeTest/home.jsp HTTP/1.1" 200 2485
0:0:0:0:0:0:0:1 - - [24/Sep/2024:14:47:21 +0530] "GET /TakeTest/adminPages/adminLogin.jsp HTTP/1.1" 200 3881
0:0:0:0:0:0:0:1 - - [24/Sep/2024:15:48:52 +0530] "GET /TakeTest/userPages/userRegister.jsp HTTP/1.1" 200 4842
0:0:0:0:0:0:0:1 - - [24/Sep/2024:15:49:51 +0530] "POST /TakeTest/VerifyUser HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [24/Sep/2024:15:49:51 +0530] "GET /TakeTest/userPages/userRegister.jsp?error=email_already_exists HTTP/1.1" 200 4956
0:0:0:0:0:0:0:1 - - [24/Sep/2024:17:20:35 +0530] "GET /TakeTest/home.jsp HTTP/1.1" 200 2485
