127.0.0.1 - - [18/Oct/2024:14:41:50 +0530] "GET / HTTP/1.1" 404 752
0:0:0:0:0:0:0:1 - - [18/Oct/2024:14:41:53 +0530] "GET /TakeTest/ HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:14:41:53 +0530] "GET /TakeTest/css/styles.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:14:41:53 +0530] "GET /TakeTest/js/scripts.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:14:41:53 +0530] "GET /TakeTest/bgOff.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:14:41:58 +0530] "GET /TakeTest/assets/favicon.ico HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:14:42:00 +0530] "GET /TakeTest/home.jsp HTTP/1.1" 200 3400
0:0:0:0:0:0:0:1 - - [18/Oct/2024:14:42:00 +0530] "GET /TakeTest/SkillEdge.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/Oct/2024:14:42:00 +0530] "GET /favicon.ico HTTP/1.1" 404 763
0:0:0:0:0:0:0:1 - - [18/Oct/2024:14:45:47 +0530] "GET /TakeTest/ HTTP/1.1" 200 16109
